Region,Brca1,E2f6,Esrrb,Foxm1,Grhl2,Hdac2,Klf5,Max,Mga,Nanog,Nfkb2,Patz1,Pou5f1,Rad21,Rel,Rela,Rest,Sin3a,Smc3,Sox2,Sp1,Tbx3,Tlr4,Zfp281,Zfp42,Zic3,openness,GCcontent,Label
region 6427,0,1728.109153,44092.21569,11653.05701,0,104413.4061,754389.5882,16493.07636,15777.34297,146365.7251,0,28778.7651,638417.8862,271390.5785,0,0,0,25134.40314,38001.34375,67613.83283,112447.7914,11082.88469,0,0,0,3824.189518,5.541795186,0.454907,0
region 6428,0,0,0,0,0,0,309964.4787,0,55776.40973,0,0,0,0,0,0,0,0,0,0,235956.7899,51050.29474,39180.4576,0,0,0,0,4.406179301,0.414384,0
region 6429,0,0,0,0,0,0,224629.0858,0,17093.26801,0,0,0,0,0,0,0,0,0,0,149777.9039,0,12007.26375,0,0,0,3200.144295,19.46507541,0.426316,0
region 6430,0,0,0,0,0,0,0,0,0,0,0,0,879480.4154,304390.5678,0,0,0,0,42622.15242,0,0,0,0,0,0,0,17.41071491,0.358025,0
region 6431,0,0,0,23343.32921,0,82369.19902,0,0,16028.28724,64858.54277,0,0,0,0,0,0,0,0,0,0,0,11259.16192,0,6605.608932,0,0,18.57380901,0.399317,0
region 6432,0,0,0,0,0,0,0,0,23968.77402,0,0,0,0,0,0,0,0,0,0,252977.277,0,16837.00221,0,6828.141091,0,0,8.013360074,0.460606,0
region 6433,0,0,47729.46801,11237.62381,970.8508925,42178.56309,146188.306,0,68542.20937,0,0,14389.38255,1026255.126,0,0,0,0,0,0,464664.4424,78419.59119,48147.86646,0,0,0,3089.860493,29.20878803,0.506306,0
region 6434,0,0,55392.01367,5878.961516,0,45391.25709,0,0,57329.81627,32982.47889,0,0,0,0,0,0,0,0,0,0,0,40271.65689,0,0,0,0,5.958943389,0.382222,0
region 6435,0,0,48451.30342,0,0,0,0,0,14968.97863,31560.9087,0,0,1600502.285,0,0,0,0,0,0,650174.9361,0,10515.04453,0,9526.310874,0,0,12.44585596,0.409195,0
region 6436,0,0,0,22140.95842,0,122376.8457,173173.4313,7906.415442,16354.08256,40125.64591,0,13989.03872,0,0,0,0,0,12048.87607,0,273702.4856,92823.11719,11488.0187,0,9748.843033,0,2776.357185,6.505537144,0.486726,0
region 6437,0,0,22635.99862,23123.54044,0,121122.3911,96102.25577,0,22664.79661,43425.3149,0,0,0,0,147.8529119,4512.588178,0,0,0,314598.9966,56885.73006,15921.01583,0,9382.507497,0,0,6.252522249,0.466809,0
region 6438,0,0,0,0,0,0,256135.8717,0,16354.08256,109473.8804,0,26706.79389,1235384.699,0,0,0,0,0,0,280868.045,21599.2155,11488.0187,0,0,0,5752.565121,11.61437543,0.401848,0
region 6439,0,0,41616.17671,0,0,0,110257.5571,8378.427171,17419.06333,0,0,0,0,0,0,0,0,12768.19204,0,461248.566,0,12236.12053,0,0,0,0,5.06423169,0.510903,0
region 6440,0,0,0,0,0,56467.85121,0,0,52772.08676,85741.89407,0,0,612329.7921,0,121.8338131,3718.464641,0,0,0,0,0,37070.05377,5.595828821,0,0,2786.439121,9.138450858,0.420091,0
region 6441,0,0,49523.5627,0,0,0,0,0,17419.06333,31777.07791,0,0,0,0,0,0,0,0,0,0,0,12236.12053,0,0,0,0,6.419378024,0.428105,0
region 6442,0,0,0,0,0,0,100469.677,0,17220.43574,0,0,14389.38255,0,0,0,0,0,0,0,0,48191.83338,12096.59344,0,0,0,0,18.36381675,0.453488,0
region 6443,0,0,0,0,0,61059.16642,0,0,116792.9136,51392.96915,0,0,1765256.263,0,0,0,0,0,0,77462.35473,0,82041.84928,0,0,0,0,7.769894081,0.469262,0
region 6444,0,0,0,0,0,0,0,0,0,0,0,0,0,244730.4451,0,0,0,0,34268.27057,77462.35473,0,0,0,0,0,0,11.85438297,0.426966,0
region 6445,0,0,74431.28679,0,0,0,0,0,56335.46066,67481.41172,0,0,0,0,0,0,0,0,0,237136.6419,0,39573.16611,0,9382.507497,0,0,17.68094839,0.465608,0
region 6446,0,1768.790965,0,0,0,0,0,0,14972.25961,104827.8397,0,0,0,0,256.2155265,7819.901152,0,0,0,0,19608.1911,10517.34928,0,0,0,5938.120964,7.027800471,0.537092,0
region 6447,0,0,0,0,0,0,99325.39607,0,0,56423.22723,0,0,0,225655.9658,0,0,0,0,31597.37518,157699.6562,20960.88594,0,0,6828.141091,0,0,11.0333875,0.45,0
region 6448,0,0,48276.9723,0,0,0,0,9225.473068,35570.66475,86798.24956,0,0,0,0,0,0,0,14059.0363,0,0,0,24986.81663,5.40633329,0,0,2787.351907,14.79100858,0.541667,0
region 6449,0,0,19339.95406,0,0,0,0,8178.047897,0,0,0,14389.38255,0,288653.466,0,0,0,12462.82672,40418.57182,0,0,0,0,0,0,0,19.17666215,0.539419,0
region 6450,0,0,0,18872.56513,0,96778.9273,111571.2464,0,0,85122.68226,0,38416.87015,0,0,0,0,0,0,0,215717.9239,53516.87274,0,0,0,0,0,6.790945063,0.530249,0
region 6451,0,0,50068.08772,0,0,0,0,8146.765674,32388.04196,30689.8294,0,0,0,237505.5578,0,0,0,12415.1546,33256.60897,0,0,22751.16507,0,0,0,0,9.920551803,0.498433,0
region 6452,0,0,0,0,0,0,0,0,40144.48788,45061.68917,0,0,0,0,0,0,0,0,0,268987.1898,0,28199.72481,5.896465519,0,0,0,9.246297818,0.365482,0
